Dataset Size,Insert Min,Insert Max,Insert Avg,Search Min,SearchMax,Search Avg
100000,43186,43307,43244,12,18,14
4,4,4,4,0,2,0
10,10,10,10,0,4,1
16,16,16,16,0,4,2
64,64,64,64,4,7,5
256,253,256,255,3,8,6
1024,1010,1019,1013,7,11,9
4096,3924,3949,3936,9,13,11
16384,13923,14033,13978,12,15,13
65536,36379,36671,36529,11,17,13
100000,43151,43392,43238,9,17,14
4,4,4,4,0,3,0
10,10,10,10,0,4,1
16,16,16,16,0,5,1
64,64,64,64,2,7,4
256,254,256,255,7,10,8
1024,1005,1020,1014,8,11,9
4096,3914,3947,3933,9,14,11
16384,13891,14065,13977,11,15,12
65536,36455,36683,36554,13,17,14
100000,43073,43279,43183,14,17,15
4,4,4,4,0,3,0
10,10,10,10,0,4,2
16,16,16,16,0,5,3
64,63,64,63,3,7,5
256,254,256,255,4,9,7
1024,1009,1023,1014,6,10,9
4096,3917,3952,3933,6,13,11
16384,13893,14043,13973,11,15,13
65536,36428,36640,36535,12,18,15
100000,43156,43393,43250,10,17,14
4,4,4,4,0,2,0
10,10,10,10,0,4,2
16,16,16,16,1,5,3
64,64,64,64,5,6,5
256,254,256,255,6,9,7
1024,1008,1018,1013,6,11,9
4096,3923,3951,3931,8,13,10
16384,13925,14043,13980,12,15,13
65536,36432,36603,36515,12,17,15
100000,43182,43349,43244,13,17,14
4,4,4,4,0,3,0
10,10,10,10,0,4,2
16,16,16,16,0,5,3
64,63,64,63,1,7,4
256,254,256,255,6,9,7
1024,1012,1018,1015,9,11,9
4096,3918,3951,3936,9,13,11
16384,13905,14058,13975,10,15,13
65536,36408,36640,36525,11,17,14
100000,43133,43306,43216,11,16,14
4,4,4,4,0,2,0
10,10,10,10,0,4,0
16,16,16,16,0,5,2
64,64,64,64,3,6,4
256,254,256,255,2,9,7
1024,1010,1019,1014,8,11,9
4096,3916,3944,3933,9,14,11
16384,13891,14036,13975,13,16,13
65536,36333,36604,36489,13,17,15
100000,43050,43432,43210,10,17,14
4,4,4,4,0,3,0
10,10,10,10,0,4,1
16,16,16,16,0,5,2
64,64,64,64,3,7,5
256,254,256,255,5,9,7
1024,1009,1015,1013,7,11,9
4096,3903,3958,3933,8,13,10
16384,13948,14022,13976,9,15,12
65536,36398,36582,36492,12,17,14
100000,43119,43353,43245,13,16,14
4,4,4,4,0,3,0
10,10,10,10,0,4,1
16,16,16,16,0,5,2
64,64,64,64,1,7,5
256,254,256,255,4,9,6
1024,1008,1017,1012,7,10,8
4096,3915,3944,3931,9,13,11
16384,13904,14029,13961,7,16,12
65536,36429,36668,36533,13,16,14
100000,43155,43310,43251,14,18,15
4,4,4,4,0,2,1
10,10,10,10,0,4,2
16,16,16,16,0,4,2
64,63,64,63,4,7,5
256,254,256,255,5,9,7
1024,1011,1018,1014,9,11,10
4096,3921,3952,3937,6,13,11
16384,13866,14008,13961,12,15,13
65536,36475,36687,36590,9,17,14
100000,43094,43326,43269,14,16,15
4,4,4,4,0,3,0
10,10,10,10,0,4,2
16,16,16,16,0,5,2
64,64,64,64,2,7,4
256,254,256,255,3,9,7
1024,1006,1016,1011,9,11,10
4096,3905,3947,3930,8,13,10
16384,13899,14073,13981,11,15,13
65536,36358,36690,36508,11,17,14
100000,43169,43351,43266,9,17,14
4,8,9,8,0,2,0
10,30,36,33,0,4,1
16,58,64,60,0,4,2
64,360,373,366,4,7,5
256,1956,1993,1976,6,8,7
1024,9924,10026,9976,7,10,8
4096,47548,47901,47653,9,12,10
16384,216875,218011,217384,8,14,12
65536,920844,926198,922497,12,16,14
100000,1407760,1417883,1412529,12,16,14
4,8,8,8,0,2,0
10,20,20,20,0,3,0
16,32,32,32,0,5,2
64,128,128,128,4,7,5
256,508,512,511,3,9,7
1024,2034,2042,2038,4,11,9
4096,8012,8059,8031,3,13,10
16384,30337,30414,30377,9,16,13
65536,101896,102137,102058,12,17,15
100000,143049,143392,143236,11,17,14
4,8,8,8,0,3,0
10,20,20,20,0,4,1
16,32,32,32,0,5,2
64,128,128,128,3,7,5
256,510,512,511,5,9,7
1024,2037,2043,2038,8,11,10
4096,8017,8043,8027,6,13,10
16384,30291,30404,30346,11,15,12
65536,101939,102169,102046,10,17,14
100000,143135,143268,143215,12,16,14
4,4,4,4,0,3,0
10,10,10,10,0,4,1
16,16,16,16,0,4,2
64,64,64,64,3,6,5
256,254,256,255,5,9,7
1024,1009,1016,1012,6,11,8
4096,3920,3953,3937,10,13,11
16384,13893,14007,13946,10,14,12
65536,36421,36645,36535,12,17,14
100000,43162,43303,43230,10,17,14
